RecordType,ExternalId,Date,Institution,AccountNumber,AccountType,Currency,Description,Direction,Amount,Category,SecuritySymbol,SecurityName,SecurityType,Quantity,UnitPrice,Fees,AssetName,AssetType,AcquisitionValue,LiabilityName,LiabilityType,Principal,InterestRate,MaturityDate,PrincipalAmount,InterestAmount,ValuationValue
BANK_ACCOUNT,bank-hdfc,,HDFC Bank,HDFC-001,Savings,INR,,,,,,,,,,,,,,,,,,,,,
BANK_TRANSACTION,txn-salary-2026-08-01,2026-08-01,,HDFC-001,,INR,Salary,Credit,150000,,,,,,,,,,,,,,,,,,
BANK_TRANSACTION,txn-rent-2026-08-05,2026-08-05,,HDFC-001,,INR,Rent,Debit,35000,Housing,,,,,,,,,,,,,,,,,
EXPENSE,exp-rent-2026-08-05,2026-08-05,,HDFC-001,,INR,Monthly rent,,35000,Housing,,,,,,,,,,,,,,,,,
INVESTMENT_ACCOUNT,inv-zerodha,,Zerodha,Z-001,Brokerage,INR,,,,,,,,,,,,,,,,,,,,,
SECURITY,sec-reliance,,,,,INR,,,,RELIANCE,Reliance Industries,Equity,,,,,,,,,,,,,,,
INVESTMENT_TRANSACTION,inv-buy-reliance,2026-08-10,,Z-001,,INR,BUY,,,,RELIANCE,,,20,2800,20,,,,,,,,,,,
ASSET,asset-home,2024-01-01,,,,INR,,,,,,,,,,,Home,Property,8000000,,,,,,,
ASSET_VALUATION,asset-home-val,2026-08-31,,,,INR,,,,,,,,,,,Home,Property,,,,,,,,,8500000
LIABILITY,loan-home,2024-01-01,,,,INR,,,,,,,,,,,,,,Home Loan,Mortgage,5000000,8.5,2029-01-01,,,
